
 File: PhaseCurveFit_i<89_e<89.dat
 Created at 2024-11-09 at 17:05:01
 Created with CreateTable_PhaseCurveFit.py

  RF (pa)= 0.000174 * pa^2 + -0.0216 * pa +   1.174  |  r^2 = 0.956 (pa = phase angle in ˚)

  RF (Fit) = Radiance Factor as fit with the quadratic model above
  RF (Average) = average Radiance Factor from 1000 gaussian noise experiments
  dRF = standard deviation of the Radiance Factor from 1000 gaussian noise experiments
  MaxMin RF = (maximum - minimum) / 2  of the Radiance Factor from 1000 Gaussian noise experiments

   phase angle   RF (Fit)  RF (Average)   dRF     MaxMin RF
       (˚)
C_END
      27.0        0.719       0.717      0.0344    0.1068 
      28.0        0.707       0.705      0.0330    0.1030 
      29.0        0.695       0.693      0.0317    0.0993 
      30.0        0.684       0.682      0.0304    0.0956 
      31.0        0.673       0.671      0.0292    0.0920 
      32.0        0.662       0.661      0.0281    0.0886 
      33.0        0.652       0.650      0.0269    0.0855 
      34.0        0.642       0.641      0.0259    0.0825 
      35.0        0.632       0.631      0.0248    0.0796 
      36.0        0.623       0.622      0.0238    0.0766 
      37.0        0.614       0.613      0.0229    0.0738 
      38.0        0.606       0.605      0.0220    0.0710 
      39.0        0.598       0.596      0.0212    0.0683 
      40.0        0.590       0.589      0.0204    0.0658 
      41.0        0.582       0.581      0.0197    0.0634 
      42.0        0.575       0.574      0.0190    0.0610 
      43.0        0.568       0.567      0.0184    0.0586 
      44.0        0.562       0.561      0.0178    0.0563 
      45.0        0.556       0.555      0.0173    0.0547 
      46.0        0.550       0.549      0.0169    0.0532 
      47.0        0.544       0.544      0.0164    0.0517 
      48.0        0.539       0.539      0.0161    0.0502 
      49.0        0.535       0.534      0.0158    0.0488 
      50.0        0.530       0.530      0.0155    0.0476 
      51.0        0.526       0.526      0.0153    0.0471 
      52.0        0.523       0.522      0.0151    0.0466 
      53.0        0.519       0.519      0.0150    0.0463 
      54.0        0.516       0.516      0.0148    0.0461 
      55.0        0.514       0.513      0.0148    0.0463 
      56.0        0.511       0.511      0.0147    0.0465 
      57.0        0.509       0.509      0.0147    0.0468 
      58.0        0.508       0.507      0.0146    0.0469 
      59.0        0.507       0.506      0.0146    0.0470 
      60.0        0.506       0.505      0.0147    0.0475 
      61.0        0.505       0.505      0.0147    0.0480 
      62.0        0.505       0.505      0.0147    0.0484 
      63.0        0.505       0.505      0.0147    0.0487 
      64.0        0.506       0.505      0.0147    0.0490 
      65.0        0.506       0.506      0.0147    0.0492 
      66.0        0.508       0.507      0.0148    0.0493 
      67.0        0.509       0.509      0.0148    0.0494 
      68.0        0.511       0.511      0.0148    0.0494 
      69.0        0.513       0.513      0.0147    0.0493 
      70.0        0.516       0.516      0.0147    0.0495 
      71.0        0.519       0.519      0.0147    0.0497 
      72.0        0.522       0.522      0.0146    0.0497 
      73.0        0.526       0.526      0.0146    0.0497 
      74.0        0.530       0.530      0.0145    0.0496 
      75.0        0.534       0.534      0.0144    0.0494 
      76.0        0.539       0.539      0.0143    0.0491 
      77.0        0.544       0.544      0.0141    0.0487 
      78.0        0.549       0.549      0.0140    0.0482 
      79.0        0.555       0.555      0.0138    0.0476 
      80.0        0.561       0.561      0.0137    0.0470 
      81.0        0.567       0.567      0.0135    0.0462 
      82.0        0.574       0.574      0.0133    0.0454 
      83.0        0.581       0.581      0.0130    0.0445 
      84.0        0.588       0.588      0.0128    0.0435 
      85.0        0.596       0.596      0.0126    0.0424 
      86.0        0.604       0.604      0.0123    0.0412 
      87.0        0.613       0.613      0.0120    0.0399 
      88.0        0.622       0.622      0.0118    0.0390 
      89.0        0.631       0.631      0.0115    0.0383 
      90.0        0.640       0.640      0.0113    0.0374 
      91.0        0.650       0.650      0.0110    0.0366 
      92.0        0.660       0.661      0.0108    0.0360 
      93.0        0.671       0.671      0.0105    0.0354 
      94.0        0.682       0.682      0.0103    0.0347 
      95.0        0.693       0.693      0.0102    0.0340 
      96.0        0.705       0.705      0.0101    0.0333 
      97.0        0.717       0.717      0.0100    0.0325 
      98.0        0.729       0.729      0.0099    0.0319 
      99.0        0.742       0.742      0.0100    0.0314 
     100.0        0.755       0.755      0.0101    0.0312 
     101.0        0.768       0.768      0.0103    0.0316 
     102.0        0.782       0.782      0.0105    0.0333 
     103.0        0.796       0.796      0.0109    0.0351 
     104.0        0.810       0.810      0.0113    0.0370 
     105.0        0.825       0.825      0.0118    0.0390 
     106.0        0.840       0.840      0.0124    0.0411 
     107.0        0.855       0.855      0.0131    0.0432 
     108.0        0.871       0.871      0.0138    0.0454 
     109.0        0.887       0.887      0.0146    0.0475 
     110.0        0.904       0.904      0.0155    0.0499 
     111.0        0.921       0.921      0.0164    0.0533 
     112.0        0.938       0.938      0.0173    0.0568 
     113.0        0.955       0.955      0.0184    0.0604 
     114.0        0.973       0.973      0.0195    0.0640 
     115.0        0.991       0.991      0.0206    0.0676 
     116.0        1.010       1.010      0.0218    0.0714 
     117.0        1.029       1.029      0.0230    0.0752 
     118.0        1.048       1.048      0.0243    0.0791 
     119.0        1.068       1.068      0.0256    0.0830 
     120.0        1.088       1.088      0.0269    0.0871 
     121.0        1.108       1.108      0.0283    0.0912 
     122.0        1.129       1.128      0.0298    0.0953 
     123.0        1.150       1.149      0.0312    0.0999 
     124.0        1.171       1.171      0.0328    0.1048 
     125.0        1.193       1.192      0.0343    0.1098 
     126.0        1.215       1.214      0.0359    0.1149 
     127.0        1.237       1.237      0.0375    0.1201 
     128.0        1.260       1.259      0.0392    0.1254 
     129.0        1.283       1.282      0.0409    0.1308 
