 
 File: PhaseCurveFit_i<89_e<90.dat
 Created at 2024-06-03 at 16:43:40
 
  RF (pa)= 0.000174 * pa^2 + -0.0216 * pa +   1.174  |  r^2 = 0.956 (pa = phase angle in ˚)
 
  RF (Fit) = Radiance Factor as fit with the quadratic model above
  RF (Average) = average Radiance Factor from 1000 gaussian noise experiments
  dRF = standard deviation of the Radiance Factor from 1000 gaussian noise experiments
  MaxMin RF = (maximum - minimum) / 2  of the Radiance Factor from 1000 Gaussian noise experiments
 
   phase angle   RF (Fit)  RF (Average)   dRF     MaxMin RF
       (˚)
C_END
      27.0        0.719       0.720      0.0353    0.1093 
      28.0        0.707       0.708      0.0339    0.1047 
      29.0        0.695       0.696      0.0326    0.1002 
      30.0        0.684       0.685      0.0313    0.0958 
      31.0        0.673       0.674      0.0301    0.0915 
      32.0        0.662       0.663      0.0289    0.0872 
      33.0        0.652       0.653      0.0278    0.0830 
      34.0        0.642       0.643      0.0267    0.0796 
      35.0        0.632       0.633      0.0256    0.0764 
      36.0        0.623       0.624      0.0246    0.0732 
      37.0        0.614       0.615      0.0236    0.0701 
      38.0        0.606       0.606      0.0227    0.0670 
      39.0        0.598       0.598      0.0219    0.0640 
      40.0        0.590       0.590      0.0211    0.0618 
      41.0        0.582       0.583      0.0203    0.0597 
      42.0        0.575       0.575      0.0196    0.0577 
      43.0        0.568       0.569      0.0189    0.0563 
      44.0        0.562       0.562      0.0183    0.0548 
      45.0        0.556       0.556      0.0178    0.0544 
      46.0        0.550       0.550      0.0173    0.0545 
      47.0        0.544       0.545      0.0168    0.0546 
      48.0        0.539       0.540      0.0164    0.0546 
      49.0        0.535       0.535      0.0160    0.0546 
      50.0        0.530       0.531      0.0157    0.0546 
      51.0        0.526       0.527      0.0154    0.0545 
      52.0        0.523       0.523      0.0152    0.0543 
      53.0        0.519       0.520      0.0150    0.0541 
      54.0        0.516       0.517      0.0149    0.0539 
      55.0        0.514       0.514      0.0147    0.0537 
      56.0        0.511       0.512      0.0146    0.0546 
      57.0        0.509       0.510      0.0146    0.0560 
      58.0        0.508       0.508      0.0145    0.0573 
      59.0        0.507       0.507      0.0145    0.0585 
      60.0        0.506       0.506      0.0145    0.0596 
      61.0        0.505       0.505      0.0144    0.0606 
      62.0        0.505       0.505      0.0144    0.0615 
      63.0        0.505       0.505      0.0144    0.0623 
      64.0        0.506       0.506      0.0144    0.0630 
      65.0        0.506       0.507      0.0145    0.0636 
      66.0        0.508       0.508      0.0145    0.0640 
      67.0        0.509       0.509      0.0144    0.0644 
      68.0        0.511       0.511      0.0144    0.0647 
      69.0        0.513       0.513      0.0144    0.0649 
      70.0        0.516       0.516      0.0144    0.0649 
      71.0        0.519       0.519      0.0144    0.0649 
      72.0        0.522       0.522      0.0143    0.0647 
      73.0        0.526       0.526      0.0143    0.0645 
      74.0        0.530       0.530      0.0142    0.0641 
      75.0        0.534       0.534      0.0141    0.0637 
      76.0        0.539       0.539      0.0140    0.0631 
      77.0        0.544       0.544      0.0139    0.0624 
      78.0        0.549       0.549      0.0137    0.0617 
      79.0        0.555       0.555      0.0136    0.0608 
      80.0        0.561       0.561      0.0134    0.0598 
      81.0        0.567       0.567      0.0133    0.0587 
      82.0        0.574       0.574      0.0131    0.0575 
      83.0        0.581       0.581      0.0129    0.0562 
      84.0        0.588       0.589      0.0127    0.0548 
      85.0        0.596       0.596      0.0125    0.0533 
      86.0        0.604       0.604      0.0123    0.0517 
      87.0        0.613       0.613      0.0120    0.0500 
      88.0        0.622       0.622      0.0118    0.0482 
      89.0        0.631       0.631      0.0116    0.0468 
      90.0        0.640       0.640      0.0114    0.0455 
      91.0        0.650       0.650      0.0111    0.0442 
      92.0        0.660       0.661      0.0110    0.0428 
      93.0        0.671       0.671      0.0108    0.0414 
      94.0        0.682       0.682      0.0106    0.0398 
      95.0        0.693       0.693      0.0105    0.0381 
      96.0        0.705       0.705      0.0104    0.0363 
      97.0        0.717       0.717      0.0104    0.0345 
      98.0        0.729       0.729      0.0104    0.0343 
      99.0        0.742       0.742      0.0105    0.0344 
     100.0        0.755       0.755      0.0106    0.0344 
     101.0        0.768       0.768      0.0108    0.0344 
     102.0        0.782       0.782      0.0111    0.0344 
     103.0        0.796       0.796      0.0115    0.0351 
     104.0        0.810       0.811      0.0119    0.0372 
     105.0        0.825       0.825      0.0124    0.0393 
     106.0        0.840       0.840      0.0130    0.0415 
     107.0        0.855       0.856      0.0136    0.0437 
     108.0        0.871       0.872      0.0143    0.0460 
     109.0        0.887       0.888      0.0151    0.0483 
     110.0        0.904       0.904      0.0159    0.0507 
     111.0        0.921       0.921      0.0168    0.0531 
     112.0        0.938       0.938      0.0178    0.0556 
     113.0        0.955       0.956      0.0188    0.0581 
     114.0        0.973       0.974      0.0198    0.0606 
     115.0        0.991       0.992      0.0209    0.0638 
     116.0        1.010       1.011      0.0221    0.0675 
     117.0        1.029       1.030      0.0232    0.0722 
     118.0        1.048       1.049      0.0245    0.0781 
     119.0        1.068       1.068      0.0258    0.0841 
     120.0        1.088       1.088      0.0271    0.0903 
     121.0        1.108       1.109      0.0284    0.0966 
     122.0        1.129       1.129      0.0298    0.1030 
     123.0        1.150       1.150      0.0313    0.1095 
     124.0        1.171       1.172      0.0327    0.1162 
     125.0        1.193       1.194      0.0343    0.1231 
     126.0        1.215       1.216      0.0358    0.1300 
     127.0        1.237       1.238      0.0374    0.1371 
     128.0        1.260       1.261      0.0390    0.1443 
     129.0        1.283       1.284      0.0407    0.1517 
