
 File: PhaseCurve_i<84_e<81.dat
 Created at 2024-11-09 at 16:27:05
 Created with CreateTable_PhaseCurve.py

 RF = Radiance Factor
 dAverage RF = Standard deviation of average RF

 Radiance Scaling Factor from image header label RADIANCE_SCALING_FACTOR

 Incidence angle < 84˚
 Emission angle < 81˚

 Iterative removal of outliers at the 3-sigma level with a > 1% change in average value
 Note: median values are calculated after iterative outlier removal!

 73 orbits with a total of 1374 images

    Image          phase angle   Average RF  dAverage RF     Q1 RF  Median RF  Q3 RF   # iterations   Radiance Scaling Factor    # valid data points
                       (˚)                                                                              W/m2/ster/micron/DN
C_END
 V2811_0080_UV2       27.08         0.668      0.1377        0.574    0.651    0.746        2               0.07738                       82520
 V2810_0072_UV2       28.46         0.682      0.1362        0.578    0.673    0.755        2               0.07738                       82233
 V2811_0084_UV2       29.69         0.648      0.1356        0.552    0.630    0.725        2               0.07738                       82693
 V2810_0076_UV2       30.89         0.670      0.1440        0.561    0.655    0.745        1               0.07738                       83092
 V2809_0108_UV2       31.08         0.635      0.1444        0.512    0.629    0.732        1               0.07738                       82869
 V2808_0080_UV2       32.31         0.619      0.1350        0.505    0.609    0.704        1               0.07738                       82685
 V2809_0112_UV2       33.34         0.620      0.1399        0.500    0.611    0.715        1               0.07738                       82611
 V2807_0108_UV2       33.66         0.629      0.1405        0.508    0.622    0.722        1               0.07738                       82454
 V2808_0084_UV2       34.43         0.608      0.1336        0.496    0.599    0.691        1               0.07738                       83165
 V2811_0088_UV2       34.58         0.608      0.1165        0.517    0.600    0.679        1               0.07738                       80670
 V2806_0080_UV2       35.00         0.602      0.1360        0.487    0.596    0.681        2               0.07738                       80803
 V2810_0080_UV2       35.53         0.630      0.1298        0.532    0.619    0.709        1               0.07738                       81464
 V2807_0112_UV2       35.65         0.620      0.1378        0.501    0.619    0.709        1               0.07738                       83040
 V2806_0084_UV2       36.86         0.596      0.1353        0.485    0.581    0.674        1               0.07738                       82049
 V2809_0116_UV2       37.01         0.592      0.1230        0.485    0.583    0.680        1               0.07738                       80621
 V2805_0100_UV2       37.61         0.597      0.1303        0.480    0.586    0.681        1               0.07738                       82071
 V2804_0088_UV2       37.70         0.590      0.1194        0.477    0.596    0.688        2               0.07738                       80791
 V2808_0088_UV2       38.50         0.577      0.1186        0.475    0.571    0.662        1               0.07738                       80995
 V2804_0092_UV2       38.83         0.588      0.1189        0.476    0.593    0.682        2               0.07738                       81003
 V2803_0092_UV2       39.07         0.554      0.1217        0.439    0.562    0.635        2               0.07738                       81060
 V2807_0116_UV2       39.50         0.592      0.1254        0.481    0.595    0.676        1               0.07738                       81430
 V2803_0096_UV2       40.14         0.557      0.1249        0.440    0.562    0.635        1               0.07738                       81637
 V2802_0084_UV2       40.45         0.563      0.1502        0.428    0.545    0.686        1               0.07738                       81556
 V2806_0088_UV2       40.49         0.572      0.1238        0.468    0.556    0.660        1               0.07738                       80689
 V2805_0104_UV2       41.05         0.582      0.1230        0.471    0.576    0.666        1               0.07738                       81844
 V2802_0088_UV2       41.45         0.561      0.1508        0.424    0.543    0.681        1               0.07738                       81885
 V2804_0096_UV2       42.79         0.575      0.1136        0.471    0.578    0.660        1               0.07738                       80723
 V2803_0100_UV2       43.88         0.547      0.1139        0.440    0.553    0.622        1               0.07738                       81295
 V2802_0092_UV2       44.99         0.550      0.1427        0.416    0.539    0.670        1               0.07738                       81364
 V2798_0070_UV2       45.94         0.540      0.1356        0.434    0.530    0.632        2               0.07738                       80399
 V2798_0074_UV2       46.73         0.543      0.1385        0.432    0.532    0.638        2               0.07738                       80532
 V2797_0094_UV2       46.95         0.599      0.1265        0.498    0.601    0.692        2               0.07738                       80028
 V2797_0098_UV2       48.00         0.599      0.1260        0.498    0.602    0.688        2               0.07738                       80585
 V2796_0097_UV2       48.27         0.558      0.0992        0.496    0.547    0.616        1               0.07738                       80383
 V2798_0078_UV2       48.94         0.545      0.1452        0.428    0.532    0.635        1               0.07738                       80738
 V2795_0088_UV2       49.26         0.522      0.1539        0.379    0.504    0.644        2               0.07738                       79507
 V2796_0101_UV2       49.27         0.558      0.1032        0.494    0.550    0.620        1               0.07738                       80985
 V2795_0092_UV2       50.16         0.531      0.1578        0.383    0.517    0.655        2               0.07738                       80264
 V2797_0102_UV2       50.24         0.593      0.1240        0.491    0.595    0.675        1               0.07738                       80645
 V2794_0076_UV2       51.32         0.550      0.1269        0.438    0.550    0.655        2               0.07738                       79403
 V2796_0105_UV2       51.41         0.553      0.1048        0.490    0.551    0.620        1               0.07738                       80788
 V2793_0080_UV2       51.95         0.582      0.1082        0.485    0.576    0.669        2               0.07738                       78256
 V2795_0096_UV2       52.59         0.534      0.1552        0.388    0.523    0.649        1               0.07738                       80578
 V2793_0084_UV2       52.78         0.585      0.1088        0.491    0.577    0.670        2               0.07738                       78716
 V2792_0072_UV2       53.48         0.560      0.1468        0.467    0.547    0.677        2               0.07738                       78572
 V2794_0080_UV2       53.60         0.546      0.1216        0.444    0.547    0.644        1               0.07738                       79033
 V2792_0076_UV2       54.30         0.561      0.1494        0.461    0.549    0.680        2               0.07738                       79257
 V2793_0088_UV2       54.70         0.580      0.1086        0.492    0.564    0.663        1               0.07738                       78472
 V2790_0068_UV2       56.02         0.538      0.1183        0.445    0.481    0.626        2               0.07738                       76957
 V2792_0080_UV2       56.14         0.553      0.1491        0.446    0.548    0.665        1               0.07738                       78772
 V2790_0072_UV2       56.79         0.540      0.1185        0.444    0.486    0.629        2               0.07738                       77181
 V2790_0076_UV2       58.56         0.536      0.1156        0.443    0.487    0.614        1               0.07738                       75793
 V2787_0032_UV2       59.89         0.592      0.1094        0.509    0.568    0.669        2               0.07738                       76339
 V0260_0038_UV2       60.86         0.644      0.1640        0.531    0.597    0.725        1               0.12897                      124559
 V2787_0036_UV2       61.00         0.588      0.1052        0.506    0.565    0.669        2               0.07738                       74919
 V2785_0060_UV2       62.49         0.535      0.1280        0.425    0.518    0.623        2               0.07738                       73206
 V2787_0040_UV2       62.86         0.579      0.1069        0.496    0.555    0.658        1               0.07738                       71544
 V2785_0064_UV2       62.98         0.542      0.1326        0.428    0.526    0.633        2               0.07738                       72116
 V2785_0068_UV2       63.65         0.541      0.1333        0.426    0.520    0.633        2               0.07738                       70754
 V2785_0072_UV2       64.51         0.538      0.1354        0.423    0.510    0.630        1               0.07738                       69378
 V2785_0076_UV2       65.55         0.531      0.1334        0.418    0.495    0.623        1               0.07738                       67450
 V2782_0060_UV2       66.67         0.570      0.1041        0.488    0.548    0.653        2               0.07738                       66959
 V0427_0132_UV2       66.78         0.632      0.1721        0.490    0.595    0.749        1               0.09673                      162212
 V0427_0131_UV2       66.81         0.632      0.1730        0.491    0.596    0.751        1               0.09673                      161178
 V0427_0130_UV2       66.84         0.635      0.1743        0.492    0.599    0.755        1               0.09673                      160116
