
 File: /Users/maarten/Science/Venus/VenusResearchWorkBook/Temperature-UVBrightness-Project/VMC/Step04/temp_devi_contour_lt_to_lat_distributions_at_constant_altitude_each_value_whole_wider_period.dat
 Created at 2024-11-10 at 09:58:36
 Created with CreateTable_ThermalTide_Akiba2021_Figure5.py

 Original file /Users/maarten/Science/Venus/Data/Akatsuki/Akiba_etal_2021v4/Figure_data_csv/Figure5/temp_devi_contour_lt_to_lat_distributions_at_constant_altitude_each_value_whole_wider_period.csv
  from Zenodo repository at doi.org/10.5281/zenodo.5159027 (figure5)
  Figure 5a from Akiba, M. et al. (2021). "Thermal tides in the upper cloud layer of Venus as deduced from the emission angle dependence of the brightness temperature by Akatsuki/ LIR."
   Journal of Geophysical Research: Planets, 126, e2020JE006808. https:// doi.org/10.1029/2020JE006808

 LST = Local Solar Time 
 Values are the temperature amplitudes of the combined (diurnal and semi-diurnal) thermal tides.

 Latitude  LST:  00h       01h       02h       03h       04h       05h       06h       07h       08h       09h       10h       11h       12h       13h       14h       15h       16h       17h       18h       19h       20h       21h       22h       23h
   (˚)           (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)       (K)
C_END
 -62.5        -0.62291  -1.36938  -3.00856  -3.82437  -3.63040  -4.12546  -3.78374  -2.67644  -1.94902  -1.02127  -0.01946   1.08914   2.16913   2.27950   2.44447   2.15909   2.59949   2.89078   2.78998   2.48962   2.21503   2.03813   1.28372  -0.41716
 -57.5        -1.10643  -1.24155  -3.17441  -3.43840  -2.73965  -3.16016  -3.14236  -1.85127  -1.03479  -0.47377   0.27957   1.43819   1.89650   2.08911   1.94589   1.44603   1.92427   2.13617   1.84767   1.45282   1.76376   1.95763   0.80737   0.37711
 -52.5         0.34793  -0.99911  -1.53438  -2.00247  -1.77432  -1.23479  -1.57703  -1.59386  -0.55873   0.06258   0.49461   0.89362   0.78462   0.77638  -0.13164  -0.05151   0.57224   0.94675   0.97005   1.89001   1.35545   0.80994   0.51553   1.03691
 -47.5         0.31445  -0.61826  -1.12267  -1.46257  -1.14261  -0.93814  -0.93070  -0.60660  -0.15291   0.27154   0.67740   0.71527   0.22228  -0.00925  -0.61513  -0.76961  -0.24040   0.33101   1.00089   1.63759   1.63885   1.08714   0.24322   0.46936
 -42.5        -0.06232  -1.03763  -1.52365  -1.12077  -0.73805  -0.74933  -0.60638   0.13513   0.52661   0.64986   0.73019   0.22363  -0.04604  -0.69813  -0.82764  -0.58546  -0.50603   0.28691   0.99606   1.62042   1.78133   1.08385   0.03946   0.42807
 -37.5        -0.44229  -1.43314  -1.87885  -1.03328  -0.63879  -0.66766  -0.31013   0.47769   1.28839   1.04468   0.69954  -0.06647  -0.31877  -0.83209  -1.14418  -0.41484  -0.15063   0.32593   1.02092   1.64949   1.62334   0.88287   0.07873   0.23958
 -32.5        -0.52982  -1.43767  -1.77388  -1.13454  -0.86937  -0.70386  -0.40988   0.56401   1.12173   0.99982   1.03941   0.00787  -0.27011  -0.67510  -0.86322  -0.61943  -0.42807   0.18095   0.92044   1.74153   1.52718   1.18076   0.24757   0.18356
 -27.5        -0.54434  -1.49750  -1.64052  -1.06479  -0.91791  -0.49802  -0.23981   0.70720   1.40343   1.09325   0.75484  -0.13551  -0.37196  -0.76628  -0.74972  -0.79459  -0.10107   0.23627   0.81224   1.65398   1.34677   0.83366   0.32030   0.15961
 -22.5        -0.57553  -1.35814  -1.49649  -1.22124  -0.82475  -0.21010   0.04828   0.88702   1.39752   1.29213   0.74873  -0.16756  -0.54196  -0.82896  -0.76453  -1.05046   0.05919   0.31557   0.85126   1.53065   1.20567   0.33408   0.36534   0.00499
 -17.5        -0.59395  -1.31868  -1.35373  -1.30148  -0.83932  -0.00406   0.19925   1.02881   1.39265   1.40211   0.61867  -0.30382  -0.60712  -0.76019  -0.84645  -1.01422   0.09346   0.28436   0.89290   1.47786   1.14140   0.14606   0.27666  -0.01105
 -12.5        -0.64066  -1.41661  -1.30769  -1.46361  -0.87907   0.06230   0.37729   1.08481   1.40599   1.38203   0.54562  -0.35968  -0.52652  -0.71443  -0.99643  -0.86615   0.05580   0.31584   0.80992   1.74380   1.15764   0.17578   0.15611  -0.10150
  -7.5        -0.78426  -1.48314  -1.29601  -1.67973  -0.88736   0.16693   0.46794   1.16722   1.44888   1.29353   0.58026  -0.32097  -0.49565  -0.70985  -0.95038  -0.78299  -0.06145   0.43091   0.79286   1.55644   1.28621   0.26273   0.12308  -0.12537
  -2.5        -0.84831  -1.41594  -1.42009  -1.83215  -0.94829   0.35841   0.53023   1.30185   1.38135   1.26689   0.62250  -0.29862  -0.42708  -0.61301  -0.76407  -0.84676  -0.20105   0.43759   0.69859   1.50969   1.34859   0.27086   0.12959  -0.24121
   2.5        -0.80263  -1.28607  -1.48195  -1.78172  -0.90831   0.51079   0.61485   1.34932   1.29131   1.20148   0.67584  -0.32561  -0.42966  -0.55469  -0.70685  -1.03192  -0.29013   0.54308   0.62257   1.44217   1.22844   0.31021   0.19206  -0.38229
   7.5        -0.75406  -1.09354  -1.45847  -1.69803  -0.98827   0.60527   0.53070   1.37059   1.26915   1.18492   0.65224  -0.25327  -0.42099  -0.53261  -0.76430  -1.07814  -0.41475   0.73224   0.55385   1.40784   1.08234   0.35788   0.19235  -0.48315
  12.5        -0.79051  -0.95349  -1.47537  -1.58630  -1.17203   0.53422   0.53113   1.21397   1.16360   1.21960   0.68103  -0.22798  -0.49957  -0.54065  -0.77258  -1.09167  -0.42339   0.77693   0.73084   1.43001   1.17513   0.41138   0.13615  -0.46980
  17.5        -0.78218  -0.88834  -1.49715  -1.56796  -1.25607   0.50351   0.50107   1.08849   1.07578   1.12871   0.65926  -0.19688  -0.63063  -0.51694  -0.83348  -1.06270  -0.46724   0.87253   0.80337   1.53534   1.47653   0.43533   0.04883  -0.42954
  22.5        -0.69283  -0.75777  -1.46461  -1.60739  -1.30533   0.19223   0.40848   0.94707   0.95619   1.04829   0.64624  -0.12990  -0.73155  -0.60547  -0.91380  -0.97835  -0.36479   0.82369   1.11028   1.52882   1.61119   0.56596   0.02974  -0.31632
  27.5        -0.64513  -0.77389  -1.30309  -1.67610  -1.22305  -0.11040   0.28075   0.61130   0.80582   0.93070   0.70055  -0.01633  -0.76013  -0.64265  -0.88571  -0.90916  -0.09494   0.71971   1.34721   1.52231   1.61981   0.63219   0.07133  -0.20132
  32.5        -0.70329  -0.93603  -0.99167  -1.48447  -1.01254  -0.35889   0.02174   0.34187   0.75353   0.75299   0.66974  -0.02866  -0.71486  -0.75165  -0.85649  -0.72662   0.17432   0.55614   1.42229   1.53409   1.57756   0.74655   0.18660  -0.17268
  37.5        -0.69786  -0.66882  -1.07970  -1.34735  -0.91223   0.06992   0.26857   0.41983   0.67088   0.63957   0.45648  -0.18491  -0.84615  -1.06982  -1.07114  -0.56636   0.13362   0.85501   1.77217   1.44249   1.36662   0.96106  -0.07466  -0.53740
  42.5        -0.58350  -0.77451  -0.97234  -1.08763  -1.04582  -0.44136  -0.19289   0.11499   0.60515   0.46155   0.53744   0.02791  -0.70000  -1.04195  -1.05847  -0.49530   0.44402   0.91865   1.43710   1.54884   1.46777   1.07707   0.03537  -0.28229
  47.5        -0.38786  -0.92763  -1.02582  -0.97897  -1.02158  -0.75433  -0.68428  -0.18764   0.20111   0.20258   0.17001  -0.00145  -0.31877  -0.77722  -0.94809  -0.34058   0.27966   1.00381   1.38681   1.74728   1.87633   1.25900   0.36937  -0.14150
  52.5         0.00711  -0.85345  -0.85429  -1.46272  -1.56213  -1.41293  -1.17453  -0.54169  -0.36967  -0.17197   0.30165   0.06867   0.19881  -0.09685  -0.11728   0.20178   0.36078   0.98975   1.25282   1.71918   1.77788   1.21268   0.56181  -0.03538
  57.5        -0.38159  -1.30237  -1.39674  -1.92154  -2.34494  -2.35460  -2.18878  -1.72549  -0.85074  -0.18642  -0.01067   0.10550   0.26622   0.69629   0.98158   0.60356   1.18336   1.40825   1.86647   1.99596   1.94214   1.78149   0.95721   0.87634
