 
 File: /Users/maarten/Science/Venus/VenusResearchWorkBook/Temperature-UVBrightness-Project/VMC/Step05/cloudTopTemperature_vs_RadianceFactorRatio.dat
 Created at 2024-10-05 at 14:29:51
 
 T_cloudtop_corr = cloud top temperature corrected = T_cloud_uncorr + dT/dz_correction - T_tide_correction
 T_cloud_uncorr = cloud top temperature from VeRa uncorrected for any effects
 dT/dz_correction = cloud top temperature correction for the thermal gradient of -1K/km relative to the cloud top altitude of 71km.
 T_tide_correction = cloud top temperature correction for the thermal tide
 RFR = Radiance Factor Ratio median for the VMC image (from VMC Step03 - RadianceFactorRatiosPerOrbit.dat)
 z_cloudtop = cloud top altitude
 latitude = latitude of the VeRa sounding at 70km altitude
 
  T_cloud_corr   dT_cloud_corr   T_cloud_uncorr  dT/dz_correction  T_tide_correction    RFR     dRFR   z_cloudtop   latitude
     (K)            (K)               (K)             (K)                (K)                             (km)          (˚)
C_END
   220.61071       0.48432         229.00667        -6.0               2.39595         0.930   0.0160     65         -68.58
   207.43885       0.50559         212.75820        -6.0              -0.68066         0.720   0.0110     65         -67.48
   226.38417       1.31699         234.75440        -6.0               2.37023         1.020   0.0200     65         -65.56
   230.75447       0.56544         235.85342        -6.0              -0.90105         1.200   0.0560     65         -76.89
   215.94224       0.63940         220.98108        -6.0              -0.96116         1.260   0.0460     65         -69.67
   224.19204       0.45761         232.37967        -6.0               2.18763         1.080   0.0690     65         -83.80
   229.09619       0.89882         237.41795        -6.0               2.32176         1.030   0.0390     65         -81.74
   227.73768       2.08108         236.12222        -6.0               2.38454         0.880   0.0330     65         -79.60
   222.08136       0.21989         230.50300        -6.0               2.42164         0.940   0.0320     65         -77.45
   225.23045       2.22725         233.67207        -6.0               2.44162         1.000   0.0350     65         -75.33
   216.35947       0.51802         224.80229        -6.0               2.44282         1.070   0.2380     65         -73.26
   228.78302       0.54955         237.22255        -6.0               2.43952         0.990   0.0320     65         -71.24
   210.83429       3.10694         219.27711        -6.0               2.44282         1.020   0.0360     65         -69.28
   209.50547       3.42882         217.94709        -6.0               2.44162         1.040   0.0280     65         -67.40
   200.92227       1.40269         209.35247        -6.0               2.43020         0.960   0.0550     65         -65.57
   215.68400       1.51451         224.10564        -6.0               2.42164         0.940   0.0310     65         -63.84
   217.94760       1.64488         226.32532        -6.0               2.37772         1.040   0.0760     65         -62.19
   220.24618       0.69187         217.38600         2.0              -0.86018         0.820   0.0310     73         -15.33
   218.70079       1.30686         215.92180         2.0              -0.77899         0.940   0.0300     73         -22.69
   229.35624       0.92910         226.65920         2.0              -0.69704         0.710   0.0180     73         -33.07
   220.77435       0.18152         219.77817         2.0               1.00382         1.150   0.0500     73         -35.38
   221.27690       0.58830         219.39529         2.0               0.11839         0.760   0.0370     73         -22.44
   221.27184       1.14654         219.26967         2.0              -0.00217         0.750   0.0470     73         -26.98
   222.62891       0.52631         220.42657         2.0              -0.20234         0.930   0.0430     73         -31.40
   219.84787       1.22376         217.72520         2.0              -0.12267         0.720   0.0380     73         -39.95
   227.92219       0.37726         227.19425         2.0               1.27206         1.090   0.0530     73         -25.16
   223.09258       0.50527         222.70986         0.0              -0.38272         1.150   0.0390     71         -49.75
   227.48379       0.81705         229.57650         0.0               2.09271         0.950   0.0290     71         -59.27
   220.70568       0.76064         221.39740         0.0               0.69172         1.160   0.0180     71         -43.80
   233.17692       0.74953         233.31160         0.0               0.13468         0.870   0.0140     71         -49.58
   228.17466       1.06624         228.82650         0.0               0.65184         0.840   0.0160     71         -50.05
   232.50620       0.20833         231.95833         0.0              -0.54787         1.150   0.0430     71         -58.62
   231.69379       0.65967         231.53720         0.0              -0.15659         1.190   0.0390     71         -54.87
   225.36910       0.64050         225.69143         0.0               0.32233         1.140   0.0390     71         -47.24
   227.01467       0.15616         227.61243         0.0               0.59776         1.110   0.0330     71         -43.35
   221.52207       0.13205         222.08267         0.0               0.56060         1.210   0.0660     71         -48.63
   233.14127       0.09911         234.82333         0.0               1.68206         1.040   0.0530     71         -56.21
   228.44217       1.87471         228.40133         0.0              -0.04083         0.960   0.0230     71         -47.72
   226.13755       0.84827         227.97325         0.0               1.83570         1.260   0.0460     71         -57.81
   223.35988       1.51930         224.32814         0.0               0.96826         1.050   0.0400     71         -55.40
   228.46855       0.68667         229.04825         0.0               0.57970         0.910   0.0240     71         -54.37
   225.92545       0.11282         226.17200         0.0               0.24655         1.120   0.0340     71         -53.45
   223.49905       1.43290         223.46863         0.0              -0.03042         1.140   0.0280     71         -52.65
   230.03762       0.75170         229.89600         0.0              -0.14162         1.160   0.0280     71         -51.99
   223.42693       0.55008         223.21783         0.0              -0.20910         1.120   0.0330     71         -51.45
   222.51345       0.72966         222.25200         0.0              -0.26145         1.170   0.0290     71         -51.05
   219.14371       0.75297         218.96786         0.0              -0.17585         0.950   0.0420     71         -50.77
   227.72014       0.14234         227.63929         0.0              -0.08086         1.160   0.0360     71         -51.05
   224.15873       0.55833         224.20100         0.0               0.04227         1.070   0.0370     71         -51.47
   222.45169       0.34726         222.63243         0.0               0.18074         1.130   0.0290     71         -52.02
   226.87013       0.37964         227.24875         0.0               0.37862         1.160   0.0420     71         -52.72
   223.01545       0.50107         223.68214         0.0               0.66669         1.040   0.0300     71         -53.53
   228.14333       0.44526         229.12643         0.0               0.98310         1.090   0.0260     71         -54.48
   224.41708       0.20948         225.74713         0.0               1.33004         1.160   0.0300     71         -55.54
   233.08733       1.28853         234.79337         0.0               1.70604         1.030   0.0270     71         -56.73
   226.85224       0.54174         228.86350         0.0               2.01126         0.970   0.0280     71         -58.03
