
 File: RadianceFactorRatio_vs_TVeRa50-80kmAltitude.dat
 Created at 2024-11-10 at 16:32:26
 Created with CreateTable_RadianceFactorRatios_vs_T-SVeRa.py

 RFR = Radiance Factor Ratio average for the VMC image (from VMC Step03 - RadianceFactorRatiosPerOrbit.dat)
 z_cloudtop = cloud top altitude
 latitude = latitude of the VeRa sounding at 65km altitude

  OrbitID     RFR     dRFR   z_cloudtop   latitude    T50   dT     T51   dT     T52   dT     T53   dT     T54   dT     T55   dT     T56   dT     T57   dT     T58   dT     T59   dT     T60   dT     T61   dT     T62   dT     T63   dT     T64   dT     T65   dT     T66   dT     T67   dT     T68   dT     T69   dT     T70   dT     T71   dT     T72   dT     T73   dT     T74   dT     T75   dT     T76   dT     T77   dT     T78   dT     T79   dT     T80   dT    
                                (km)        (˚)       (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)    (K)   (K)   
C_END
   0260      1.740   0.1860      65       -60.17     343.6  2.1   334.8  2.4   326.4  2.7   317.9  2.6   308.7  2.4   300.4  2.8   290.3  3.0   280.0  3.0   269.7  3.1   258.8  3.2   247.8  3.1   237.0  3.0   226.5  3.1   219.3  1.7   214.2  0.9   215.7  2.2   220.6  1.4   226.6  1.7   229.1  0.2   229.6  0.7   229.2  0.8   225.8  0.7   227.3  0.3   225.6  0.8   225.3  0.4   219.9  1.9   216.4  0.2   216.1  0.1   212.7  nan   208.3  1.2   202.8  1.2  
   0268      1.240   0.1080      73       -35.93     351.0  2.3   342.0  2.8   332.8  2.6   323.4  2.8   313.6  2.8   303.4  3.0   293.3  2.8   283.2  3.0   274.7  1.5   269.0  1.1   262.6  2.2   256.4  0.9   250.4  2.5   242.0  1.8   237.5  0.4   238.3  0.6   238.5  0.3   234.8  1.6   227.7  1.6   223.9  0.6   222.1  0.7   221.1  0.2   220.8  0.7   217.8  1.4   210.7  1.7   206.4  0.8   209.0  0.3   209.1  0.5   206.1  0.3   204.3  0.9   198.7  1.6  
   0270      1.060   0.0690      73       -29.48     348.7  2.0   340.3  2.7   330.6  2.9   321.0  2.5   312.2  2.8   302.6  2.7   293.0  2.8   282.7  3.1   272.4  1.9   269.3  1.5   263.8  1.4   257.0  1.6   253.5  0.8   250.0  0.6   247.3  1.1   246.2  0.4   240.9  1.4   239.0  0.6   236.3  1.1   232.8  0.2   231.9  0.7   226.3  1.5   224.1  0.2   222.3  1.3   216.0  0.9   212.0  1.7   206.6  1.4   201.4  1.2   197.1  0.9   192.9  1.6   186.8  1.7  
   0272      1.020   0.0670      73       -22.80     350.9  2.4   341.7  2.7   333.0  2.7   323.6  2.7   314.1  2.7   304.1  3.0   293.9  2.9   283.9  2.9   275.2  1.9   270.8  1.3   266.4  1.4   257.6  2.8   249.5  1.3   242.7  1.8   237.3  1.6   235.6  1.0   237.9  0.6   237.6  0.8   232.3  1.7   228.2  0.6   225.3  0.8   220.5  1.7   215.5  0.8   216.9  1.6   218.4  0.8   216.3  0.1   216.3  0.1   213.1  1.2   207.1  2.1   199.5  1.2   193.6  1.6  
   0422      0.980   0.0780      73       -25.89     352.3  2.2   342.8  2.8   333.9  2.6   323.7  2.7   314.2  2.8   303.9  2.9   294.1  3.0   284.3  2.9   274.0  2.9   264.4  2.0   259.9  1.3   255.3  1.3   250.8  0.7   247.9  1.1   246.2  0.8   245.4  1.4   241.3  2.1   234.2  1.7   228.8  0.9   225.0  2.0   222.1  0.7   218.4  1.3   214.3  1.4   210.4  0.8   207.7  0.8   203.8  1.3   199.3  1.2   194.7  1.3   190.3  0.9   186.6  1.3   182.1  0.9  
   0424      0.800   0.0630      73       -19.68     352.0  2.4   343.3  2.8   333.5  2.6   323.7  2.9   313.9  3.0   304.3  2.8   293.9  2.9   283.9  2.9   274.1  2.8   265.6  1.0   262.9  1.8   257.5  0.7   255.3  0.8   251.6  1.3   248.8  1.4   243.3  1.3   239.5  0.3   236.3  2.3   228.7  2.3   225.5  1.0   219.7  0.9   216.5  1.1   212.6  1.1   209.8  0.5   207.6  0.9   204.4  1.1   200.3  1.2   196.6  0.9   192.9  1.2   189.2  0.8   186.7  0.6  
   0427      0.860   0.0700      73       -10.03     350.6  2.1   342.1  2.5   334.0  2.7   324.8  3.0   314.5  2.8   304.5  2.5   295.2  2.8   284.6  2.7   274.8  2.8   265.4  1.2   261.1  1.8   257.0  0.6   251.8  1.5   250.5  0.5   249.0  1.3   241.2  1.6   235.9  1.5   232.8  0.4   229.7  2.2   225.0  0.8   221.3  1.1   218.3  0.4   217.0  0.4   214.6  0.8   210.9  1.1   206.1  1.6   200.8  1.4   195.8  1.4   190.6  1.5   186.1  1.1   182.5  0.9  
   0642      1.110   0.0900      71       -40.07     346.0  2.6   337.9  2.7   328.3  2.5   319.4  2.6   309.2  2.7   299.4  2.8   292.1  1.3     nan  nan   272.4  2.0   268.0  0.9   264.0  1.1   258.2  2.1   252.3  1.4   247.0  1.7   244.0  0.6   243.3  0.4   241.9  0.6   239.7  1.9   235.6  0.6   231.8  1.9   231.7  1.2   229.4  1.7   222.3  2.2   217.5  0.1   214.4  2.4   208.1  0.9   204.7  0.7   201.9  0.7   200.5  0.2   200.7  0.1   200.5  0.0  
